Year,LSOA code (2021),LSOA name (2021),IoD 2025 air quality indicator score,Lower-layer Super Output Area (LSOA) 2021 local name
2023,E01009548,Coventry 031A,3.58,"Friargate & Parkside –Technology, N. Cheylesmore"
2023,E01034744,Coventry 031F,3.58,Lower City Centre
2023,E01009573,Coventry 015E,3.43,Bishopgate - George Elliot 
2023,E01034737,Coventry 020F,3.43,Daimler Green West
2023,E01034738,Coventry 020G,3.43,Daimler Green East
2023,E01009574,Coventry 015F,3.38,Swanswell - Leicester Causeway
2023,E01009632,Coventry 020D,3.38,Nauls Mill Park - Canal Basin
2023,E01009638,Coventry 024C,3.38,Hillfields Village  & Motor Museum
2023,E01034743,Coventry 031E,3.38,Upper City Centre
2023,E01009636,Coventry 024A,3.33,Hillfields - Swans Lane Thacknall Street
2023,E01009639,Coventry 024D,3.33,City Farm North
2023,E01009640,Coventry 024E,3.33,Hillfields - Coronation Road Swanswell Basin
2023,E01009641,Coventry 024F,3.33,Hillfields - Canterbury Raglan Streets
2023,E01009633,Coventry 028A,3.31,Charterhouse - St Georges Road 
2023,E01009634,Coventry 028B,3.31,London Road - Acacia Northfields Roads
2023,E01034741,Coventry 028E,3.31,Far Gosford Street
2023,E01034742,Coventry 028F,3.31,Upper Gulson Road
2023,E01009544,Coventry 038A,3.25,Whitley Common - Jaguar
2023,E01032535,Coventry 037G,3.25,Cheylesmore - Daventry Road East
2023,E01009637,Coventry 024B,3.24,Hillfields - Cambridge Street
2023,E01034735,Coventry 015G,3.24,Edgwick Webster's Park
2023,E01034736,Coventry 015H,3.24,Edgwick Red Lane
2023,E01009567,Coventry 009C,3.21,Edgwick - Canal Road
2023,E01009569,Coventry 015A,3.21,Edgwick - Gallagher Retail Park Cross Road
2023,E01009570,Coventry 015B,3.21,Foleshill - Broad Street
2023,E01009571,Coventry 015C,3.21,Paradise - Awson Street
2023,E01009578,Coventry 008B,3.16,Potters Green Triangle - Wigston Road 
2023,E01009589,Coventry 001A,3.16,Ricoh Arena & Wilsons Lane
2023,E01032538,Coventry 001H,3.16,Longford Village & Longford Park
2023,E01009564,Coventry 005A,3.14,Little Heath – King Georges Avenue
2023,E01009565,Coventry 009A,3.14,Foleshill - Churchill Avenue
2023,E01009575,Coventry 005B,3.14,Arena Retail Park - Arbury
2023,E01009566,Coventry 009B,3.12,Foleshill – Courtaulds Guild Road
2023,E01009568,Coventry 009D,3.12,Parting of the Heaths - Durbar Avenue
2023,E01009626,Coventry 011D,3.12,Daimler Green - North Capmartin Road 
2023,E01009615,Coventry 027A,3.11,Stoke Park
2023,E01009616,Coventry 027B,3.11,Middle Stoke - Church Lane
2023,E01009658,Coventry 021C,3.11,Stoke Heath - Dane Road North Allotments
2023,E01009659,Coventry 016C,3.11,Barras Heath - West of Clay Lane
2023,E01009660,Coventry 021D,3.11,Stoke Church End - Shakespeare Street
2023,E01009661,Coventry 028D,3.11,Gosford Green - Kingsway 
2023,E01009620,Coventry 027E,3.06,Stoke Green - New Century Park
2023,E01009621,Coventry 027F,3.06,Sidderley Avenue 
2023,E01034749,Coventry 038G,3.06,Stoke Green Humber Bolingbroke
2023,E01034750,Coventry 038H,3.06,Charterhouse Terry Road
2023,E01009584,Coventry 007D,3.03,Aldermans Green Industrial estate 
2023,E01009654,Coventry 021B,3.03,Upper Stoke - Hartland Avenue
2023,E01009655,Coventry 016A,3.03,Stoke Heath - Bartons Meadway
2023,E01009656,Coventry 016B,3.03,Stoke Heath - Mercer Crescent– Barras Heath
2023,E01009609,Coventry 005D,3.02,Foleshill – Elkington Street
2023,E01009610,Coventry 004E,3.02,Courthouse Green North
2023,E01009662,Coventry 016D,3.02,Courthouse - Green Retail Park
2023,E01009664,Coventry 016E,3.02,Courthouse Green – Sewall Highway North
2023,E01009587,Coventry 011A,3.01,Whitmore Park - Burnaby Road
2023,E01009588,Coventry 043A,3.01,Holbrooks – Monks Park
2023,E01009596,Coventry 043C,3.01,Holbrooks N - Whitmore Park Dunster
2023,E01009597,Coventry 043D,3.01,Holbrook Lane – Lythalls Lane
2023,E01032534,Coventry 037F,3,Cheylesmore SE – Poitiers Road
2023,E01009631,Coventry 020C,2.99,Barker Butts - Bablake School Thomson Avenue
2023,E01009647,Coventry 017C,2.99,Alvis Retail Park - Moseley Avenue
2023,E01009650,Coventry 020E,2.99,Upper Holyhead Road – Minster Road
2023,E01009686,Coventry 026D,2.99,Coventry Business Park
2023,E01009613,Coventry 018A,2.98,Wyken - Ravensdale Road
2023,E01009614,Coventry 021A,2.98,Poets Corner
2023,E01009716,Coventry 018E,2.98,Hipswell Highway - Macaulay Road
2023,E01009553,Coventry 031B,2.96,Central Six Retail Park - Queens Road
2023,E01009558,Coventry 034E,2.96,Earlsdon - Broadway Albany Roads
2023,E01009605,Coventry 004B,2.96,Manor House - Privet Rd
2023,E01009606,Coventry 005C,2.96,Little Heath Old Church Road
2023,E01009607,Coventry 004C,2.96,Bell Green - Roseberry Ave
2023,E01009608,Coventry 004D,2.96,Hall Green Road – Clarke Street
2023,E01009612,Coventry 035F,2.96,Stoke Aldermoor Village
2023,E01009651,Coventry 031D,2.96,Lower Spon Street 
2023,E01009689,Coventry 030B,2.96,"Earlsdon Hearsall Lane – Melbourne Road North, The Butts"
2023,E01009691,Coventry 030D,2.96,Earlsdon – Broomfield Road – Sovereign Road
2023,E01009710,Coventry 013C,2.95,River Sowe – Clifford Bridge  - Henley Park Industrial Estate
2023,E01009712,Coventry 018C,2.95,Wyken - Ansty Road North
2023,E01009713,Coventry 019B,2.95,Caludon Castle - Bodmin Belgrave Roads
2023,E01009715,Coventry 019C,2.95,"Clifford Bridge Road, Abbey Estate & Dorchester Road North"
2023,E01009576,Coventry 008A,2.94,Potters Green - Woodway 
2023,E01009586,Coventry 008E,2.94,Potters Green – Diana Drive
2023,E01009604,Coventry 004A,2.94,Hall Green North 
2023,E01032537,Coventry 001G,2.94,Silverdale Estate & Hurst Road
2023,E01009657,Coventry 018B,2.9,Wyken - Grange Road
2023,E01009711,Coventry 013D,2.9,Wyken Green - Croft
2023,E01009714,Coventry 018D,2.9,Wyken Croft – Sewall Highway South
2023,E01009625,Coventry 011C,2.89,Radford - Middlemarch Road South
2023,E01009627,Coventry 012C,2.89,Radford Village
2023,E01009628,Coventry 012D,2.89,Radford - Banks Road
2023,E01009630,Coventry 020B,2.89,Radford - Lawrence Saunders Roads
2023,E01009549,Coventry 037B,2.84,Cheylesmore - Humphrey Burtons
2023,E01009550,Coventry 037C,2.84,Cheylesmore N  - The Mount 
2023,E01009552,Coventry 037E,2.84,Cheylesmore - Quinton Park Ulverscroft
2023,E01009555,Coventry 034B,2.84,"Westwood Gardens - Sir Henry Parkes, Burnsall Roads"
2023,E01009562,Coventry 040C,2.84,Cheylesmore East -Dillotford Road 
2023,E01009579,Coventry 007B,2.84,Henley Green West
2023,E01009599,Coventry 013A,2.84,Henley College - Gresley Road
2023,E01009663,Coventry 013B,2.84,Wyken Croft North
2023,E01009709,Coventry 007F,2.84,Manor Farm 
2023,E01009577,Coventry 007A,2.83,Aldermans Green - Deedmore Road W
2023,E01009585,Coventry 007E,2.83,Wood End – Hillmorton Road
2023,E01009617,Coventry 027C,2.83,Binley Road - central Church Lane
2023,E01009618,Coventry 027D,2.83,Stoke - Lord Lytton Avenue
2023,E01009643,Coventry 017A,2.83,Holyhead Road  – Sherbourne Crescent
2023,E01009648,Coventry 017D,2.83,"Holyhead, Lake View & Batsford Roads"
2023,E01009649,Coventry 026A,2.83,Chapelfields - Prince of Wales Road
2023,E01034745,Coventry 035I,2.83,Copsewood
2023,E01009527,Coventry 006C,2.82,Keresley South - Kipling Road
2023,E01009529,Coventry 014B,2.82,"Coundon - Keresley Road, Wallace Road"
2023,E01009622,Coventry 012A,2.82,Radford - Beake Avenue South
2023,E01009623,Coventry 012B,2.82,Radford - Beak Avenue Central
2023,E01009624,Coventry 011B,2.82,Jubilee Crescent
2023,E01032530,Coventry 038F,2.82,Whitley East & Seven Stars
2023,E01009554,Coventry 034A,2.79,Earlsdon - Newcombe Clarendon & Shaftsbury Roads
2023,E01009687,Coventry 026E,2.79,Hearsall Common - Maudslay Road 
2023,E01009688,Coventry 030A,2.79,Chapelfields - Queensland Road
2023,E01009690,Coventry 030C,2.79,Hearsall Common – Highland Road
2023,E01032536,Coventry 001F,2.79,"Hawkesbury, M6 & Foxford School, Anderton Road"
2023,E01009581,Coventry 007C,2.76,Henley Green East
2023,E01009582,Coventry 008C,2.76,Potters Green - Narberth Way
2023,E01009522,Coventry 014A,2.75,Coundon - Scots Lane 
2023,E01009583,Coventry 008D,2.75,Walsgrave on Sowe – Mount Pleasant  & Walsgrave Gardens
2023,E01009644,Coventry 017B,2.75,Coundon - House Donnington Southbank
2023,E01009645,Coventry 014D,2.75,"Coundon - Cedars, Oak and Lavender Roads"
2023,E01009646,Coventry 022A,2.75,Allesley South - Dulverton Avenue
2023,E01009652,Coventry 017E,2.75,Coundon - Kingsbury - Shorncliffe
2023,E01009653,Coventry 017F,2.75,Coundon - Dallington – Gaveston Roads
2023,E01009684,Coventry 026B,2.75,Whoberley Artists' Corner (Rembrandt Close)
2023,E01009685,Coventry 026C,2.75,Whoberley - Glendower Avenue
2023,E01009694,Coventry 022D,2.75,Allesley Park – Allesley Old Road 
2023,E01032529,Coventry 038E,2.75,"Stonebridge Highway, Industrial & Housing Estates"
2023,E01009543,Coventry 033D,2.73,Binley Oak Farm – Skipworth Road
2023,E01009592,Coventry 043B,2.73,Holbrooks N – Masser Kirkdale Roads
2023,E01009593,Coventry 002C,2.73,Holbrooks - Parkville – Roland Avenue
2023,E01032587,Coventry 043E,2.73,Holbrooks N- Fallowfield – Briscoe 
2023,E01009532,Coventry 033A,2.72,Binley Business Park - Bredon Avenue
2023,E01009536,Coventry 033C,2.72,Binley - Princethorpe
2023,E01009707,Coventry 033E,2.72,Clifford Bridge South 
2023,E01009708,Coventry 033F,2.72,Caludon South - Mayflower Road 
2023,E01009718,Coventry 019E,2.72,Attoxhall Road
2023,E01009580,Coventry 019A,2.71,"Cross Point, A46 West & University Hospital "
2023,E01009672,Coventry 040E,2.71,Finham Triangle - Green Lane 
2023,E01009560,Coventry 040A,2.68,Stivichall - Leamington & & Knoll Drive North
2023,E01009561,Coventry 040B,2.68,Finham North Festival & Fenside
2023,E01009563,Coventry 040D,2.68,Stivichall - Baginton Road East
2023,E01009717,Coventry 019D,2.68,Sowe Valley - Dorchester Road South
2023,E01032528,Coventry 035H,2.68,"Ernesford Grange - Langbank Avenue, rail line & Tarquin Close North"
2023,E01034746,Coventry 035J,2.68,Lower Stoke Aldermoor
2023,E01009525,Coventry 006B,2.67,Keresley Green East
2023,E01009559,Coventry 034F,2.67,"Memorial Park, Henry VIII - Styvechale Avenue"
2023,E01009594,Coventry 006D,2.67,Keresley –Penny Park Halford Roads
2023,E01009598,Coventry 002D,2.67,Holbrooks – Penny Park Lane
2023,E01009540,Coventry 039B,2.62,Willenhall - Robin Hood & Mary Slessor
2023,E01009541,Coventry 039C,2.62,Willenhall - Yarningale 
2023,E01009542,Coventry 039D,2.62,Willenhall - Chace Stretton
2023,E01009535,Coventry 033B,2.61,Binley - Oxenden Way
2023,E01009537,Coventry 035C,2.61,Binley - Quorn Way Bredon Avenue
2023,E01009538,Coventry 035D,2.61,Binley Industrial Estate South - Willenhall Lane Central
2023,E01009666,Coventry 041A,2.61,Stivichall - Wainbody Avenue North
2023,E01009667,Coventry 041B,2.61,Stivichall - Dewsbury Mantilla Avenues
2023,E01032527,Coventry 035G,2.61,Ernesford Grange –Willenhall North - South Willenhall Lane & St James Lane
2023,E01009530,Coventry 014C,2.6,Coundon – Norman Place Road
2023,E01009531,Coventry 010D,2.59,Allesley Village
2023,E01009679,Coventry 036C,2.59,Canley - Torrington Prior Deram Walk
2023,E01009692,Coventry 022B,2.59,Lower Eastern Green - Allesley Park Frilsham Way
2023,E01009704,Coventry 023C,2.59,Allesley Green – Dunchurch Highway West
2023,E01034748,Coventry 036I,2.59,Canley East
2023,E01009556,Coventry 034C,2.58,Earlsdon Street Beechwood Avenue South
2023,E01009557,Coventry 034D,2.58,Canley Gardens – Hearsall Golf course
2023,E01009693,Coventry 022C,2.57,Allesley Park South - Buckingham Rise
2023,E01009695,Coventry 023A,2.57,Mount Nod Rise
2023,E01009696,Coventry 023B,2.57,Mount Nod – Alderminster Road
2023,E01009539,Coventry 039A,2.56,Willenhall Wood - Middle Ride
2023,E01009591,Coventry 002B,2.56,Holbrooks - Rookery Lane President Kennedy
2023,E01009665,Coventry 042A,2.56,Wainbody - Cannon & Cannon Park Roads
2023,E01009669,Coventry 042B,2.56,Finham - Wainbody Avenue South
2023,E01009676,Coventry 032A,2.56,Torrington - Templar Avenues
2023,E01009681,Coventry 032B,2.56,Lime Tree Park - Fir Tree Avenue 
2023,E01009682,Coventry 032C,2.56,Lime Tree Park – Elm Tree Avenues
2023,E01009683,Coventry 032D,2.56,Earlplace Business Park - Middlecotes
2023,E01009526,Coventry 010B,2.55,Coundon Wedge
2023,E01009668,Coventry 041C,2.5,Finham - Schools Green Lane
2023,E01009670,Coventry 041D,2.5,Finham Green - Lane Erithway
2023,E01033058,Coventry 042F,2.5,"Canley Cemetery, Bransford Avenue & Sir Henry Parkes Road"
2023,E01009524,Coventry 006A,2.46,Keresley – Kemscote Road Sandpits Lane
2023,E01009697,Coventry 025A,2.46,Hockley Broad Lane West
2023,E01034739,Coventry 025E,2.46,Upper Bannerbrook
2023,E01009528,Coventry 010C,2.45,Browns Lane 
2023,E01009698,Coventry 025B,2.44,Broad Lane Central – Stonebury Avenue
2023,E01009699,Coventry 029B,2.44,Tile Hill North -Limbrick East Mount Nod
2023,E01009700,Coventry 029C,2.44,Tile Hill North - Jardine Delius
2023,E01009674,Coventry 029A,2.4,Tile Hill Lane South - Gravel Hill
2023,E01009701,Coventry 029D,2.4,"Bannerpark East – Tile Hill Woods, Hawthorn Lane"
2023,E01009702,Coventry 029E,2.4,Jardine Shopping Centre - Limbrick Wood Tile Hill Lane
2023,E01032533,Coventry 036G,2.39,Westwood Heath
2023,E01034747,Coventry 036H,2.39,Canley West
2023,E01009590,Coventry 002A,2.36,Keresley - Prologis
2023,E01009705,Coventry 023D,2.31,Allesley Green –Upper Eastern Green Lane
2023,E01032532,Coventry 036F,2.3,Tile Hill - Cromwell Lane Station Road
2023,E01034740,Coventry 025F,2.3,Lower Bannerbrook
2023,E01009671,Coventry 042C,2.27,Kenilworth Rd & Gibbet Hill - Central Campus 
2023,E01009523,Coventry 010A,2.26,Hawkes End & countryside
2023,E01009706,Coventry 025D,2.26,Upper Eastern - Green Hockley Lane North
