ID,ORGAN,FLOOR,BUDILING,ST_NO,STREET,TOWN,POSTCODE,STOCK_TYPE
13855,UNIVERSITY OF WARWICK,WHITEFIELDS,ON CAMPUS,,,COVENTRY,CV4 7ES,UNIVERSITY
13854,UNIVERSITY OF WARWICK,WESTWOOD,ON CAMPUS,,,COVENTRY,CV4 7ES,UNIVERSITY
13852,UNIVERSITY OF WARWICK,SHERBOURNE,ON CAMPUS,,,COVENTRY,CV4 7ES,UNIVERSITY
13851,UNIVERSITY OF WARWICK,ROOTES,ON CAMPUS,,,COVENTRY,CV4 7ES,UNIVERSITY
100273,UNITE STUDENTS,,FAR GOSFORD,18-21,FAR GOSFORD STREET,COVENTRY,CV1 5DE,PRIVATE
13850,UNIVERSITY OF WARWICK,REDFERN,ON CAMPUS,,,COVENTRY,CV4 7ES,UNIVERSITY
13849,UNIVERSITY OF WARWICK,LAKESIDE,ON CAMPUS,,,COVENTRY,CV4 7ES,UNIVERSITY
100281,HOMES FOR STUDENTS,,WARWICK STUDENT VILLAGE,,HAYTON GREEN,COVENTRY,CV4 8BW,PRIVATE
13848,UNIVERSITY OF WARWICK,JACK MARTIN,ON CAMPUS,,,COVENTRY,CV4 7ES,UNIVERSITY
100283,AXO STUDENT LIVING,,,1,BROAD LANE,COVENTRY,CV5 7AA,PRIVATE
13847,UNIVERSITY OF WARWICK,HERONBANK,ON CAMPUS,,,COVENTRY,CV4 7ES,UNIVERSITY
13846,UNIVERSITY OF WARWICK,CRYFIELD,ON CAMPUS,,,COVENTRY,CV4 7ES,UNIVERSITY
13845,UNIVERSITY OF WARWICK,CLAYCROFT,ON CAMPUS,,,COVENTRY,CV4 7ES,UNIVERSITY
13844,UNIVERSITY OF WARWICK,BLUEBELL,ON CAMPUS,,,COVENTRY,CV4 7ES,UNIVERSITY
13842,UNIVERSITY OF WARWICK,ARTHUR VICK,ON CAMPUS,,,COVENTRY,CV4 7ES,UNIVERSITY
13837,COVENTRY UNIVERSITY,THE THEATRE HOUSE,UNIVERSITY MANAGED,,,COVENTRY,CV1 5FN,UNIVERSITY
100256,APPS LIVING,,MANOR PARK,9,MANOR ROAD,COVENTRY,CV1 2FZ,PRIVATE
100262,AXO STUDENT LIVING,,PARADISE PLACE,15-23,PARADISE STREET,COVENTRY,CV1 2JU,PRIVATE
100274,UNITE STUDENTS,,CALLICE COURT,155,FAR GOSFORD STREET,COVENTRY,CV1 5DJ,PRIVATE
13853,UNIVERSITY OF WARWICK,TOCIL,ON CAMPUS,,,COVENTRY,CV4 7ES,UNIVERSITY
100278,UNITE STUDENTS,,RAGLAN HOUSE,,RAGLAN STREET,COVENTRY,CV1 5QF,PRIVATE
13832,COVENTRY UNIVERSITY,,PARISH ROOMS,,VECQUERAY STREET,COVENTRY,CV1 2JA,UNIVERSITY
13841,COVENTRY UNIVERSITY,"HAWKINS COURT, HAWKINS ROAD",UNIVERSITY MANAGED,,,COVENTRY,CV5 6HZ,UNIVERSITY
13835,COVENTRY UNIVERSITY,LIBERTY POINT,UNIVERSITY MANAGED,,,COVENTRY,CV1 5EE,UNIVERSITY
100275,LIBERTY LIVING,,LIBERTY POINT,,WEST STREET,COVENTRY,CV1 5EE,PRIVATE
100257,APPS LIVING,,PENNY BLACK HOUSE,31,GREYFRIARS LANE,COVENTRY,CV1 2GB,PRIVATE
100249,STUDY INN,,,175,CORPORATION STREET,COVENTRY,CV1 1GU,PRIVATE
100248,APPS LIVING,,FORTRESS HOUSE,48,CORPORATION STREET,COVENTRY,CV1 1GF,PRIVATE
100277,HOST STUDENT LIVING,,APOLLO WORKS,1,ALMA STREET,COVENTRY,CV1 5QA,PRIVATE
100263,UN INN STUDENT - EREC ESTATES LIMITED,,MERLIN POINT,,DEASY ROAD,COVENTRY,CV1 2JU,PRIVATE
13839,COVENTRY UNIVERSITY,GODIVA PLACE,UNIVERSITY MANAGED,,,COVENTRY,CV1 5PN,UNIVERSITY
100264,APPS LIVING,,ACACIA HOUSE,11,PARK ROAD,COVENTRY,CV1 2LE,PRIVATE
13830,COVENTRY UNIVERSITY,,,72,ST MARGARET ROAD,COVENTRY,CV1 2BU,UNIVERSITY
13838,COVENTRY UNIVERSITY,SINGER HALL,UNIVERSITY OWNED - SELF CATERED,,,COVENTRY,CV1 5NR,UNIVERSITY
100255,UN INN STUDENT - EREC ESTATES LIMITED,,ABBEY HOUSE,7,MANOR ROAD,COVENTRY,CV1 2FW,PRIVATE
100250,STUDY INN,,,165,CORPORATION STREET,COVENTRY,CV1 1GU,PRIVATE
100259,APPS LIVING,,FALCON HOUSE,13-15,MANOR ROAD,COVENTRY,CV1 2GF,PRIVATE
100267,EREC ESTATES LIMITED (UN INN STUDENT),,,1,REGENT STREET,COVENTRY,CV1 3EP,PRIVATE
13834,COVENTRY UNIVERSITY,,,41,COUNDON ROAD,COVENTRY,CV1 4AR,UNIVERSITY
13833,COVENTRY UNIVERSITY,,,96,HOLYHEAD ROAD,COVENTRY,CV1 3AE,UNIVERSITY
100245,STUDY INN,,TRINITY STREET / BURGESS HOUSE,17,TRINITY STREET,COVENTRY,CV1 1FJ,PRIVATE
100271,AXO STUDENT LIVING,,SHERBOURNE HOUSE,,VINCENT STREET,COVENTRY,CV1 3HZ,PRIVATE
100253,STUDY INN,,STUDY INN PILLAR BOX,71A,HERTFORD STREET,COVENTRY,CV1 1LA,PRIVATE
13843,UNIVERSITY OF WARWICK,BENEFACTORS,ON CAMPUS,,,COVENTRY,CV4 7ES,UNIVERSITY
100270,LIBERTY LIVING,,LIBERTY PARK,,QUEENS ROAD,COVENTRY,CV1 3GX,PRIVATE
100266,HOMES FOR STUDENTS - PRESTIGE STUDENT LIVING,,,33,PARKSIDE,COVENTRY,CV1 2NE,PRIVATE
100258,APPS LIVING,,CASSELDEN HOUSE,33,GREYFRIARS LANE,COVENTRY,CV1 2GB,PRIVATE
100260,APPS LIVING,,WATERS COURT,,SALT LANE,COVENTRY,CV1 2GX,PRIVATE
100247,APPS LIVING,,SHUNDE PLACE,28,CORPORATION STREET,COVENTRY,CV1 1GF,PRIVATE
100251,UNI CITY LODGE,,UNI CITY LODGE,161,CORPORATION STREET,COVENTRY,CV1 1GU,PRIVATE
100272,DOWNING STUDENTS,,CITY VILLAGE,,RYLEY STREET,COVENTRY,CV1 4AJ,PRIVATE
100252,UNITE STUDENTS,,MILLENNIUM VIEW,,HALES STREET,COVENTRY,CV1 1JB,PRIVATE
100246,STUDY INN,,STUDY INN - TOWER,,WELL STREET,COVENTRY,CV1 1GD,PRIVATE
13829,COVENTRY UNIVERSITY,BISHOPGATE,UNIVERSITY OWNED - SELF CATERED,,,COVENTRY,CV1 1AJ,UNIVERSITY
100276,CODE STUDENT ACCOMMODATION,,CODE COVENTRY,,FAIRFAX STREET,LEICESTER,CV1 5GA,PRIVATE
100265,PRIME STUDENT LIVING,,TRINITY VIEW,,FRIAR'S ROAD,COVENTRY,CV1 2LJ,PRIVATE
100254,CRM STUDENTS,,MERCIA LODGE,17,CROSS CHEAPING,COVENTRY,CV1 1LZ,PRIVATE
13836,COVENTRY UNIVERSITY,PRIORY HALL J BLOCK,UNIVERSITY OWNED - CATERED,,,COVENTRY,CV1 5FB,UNIVERSITY
100282,DERWENT STUDENTS,,LYNDEN HOUSE,,SPENCER ROAD,COVENTRY,CV5 6NZ,PRIVATE
100261,APPS LIVING,,,123-155,GULSON COURT,COVENTRY,CV1 2HY,PRIVATE
13840,COVENTRY UNIVERSITY,THE CYCLE WORKS,UNIVERSITY OWNED - SELF CATERED,,,COVENTRY,CV1 5QD,UNIVERSITY
100244,STUDY INN,,STUDY INN - MARKET WAY,,MARKET WAY,COVENTRY,CV1 1DL,PRIVATE
13831,COVENTRY UNIVERSITY,QUADRANT HALL,UNIVERSITY OWNED - CATERED,,,COVENTRY,CV1 2EJ,UNIVERSITY
100269,FELLGREEN INVESTMENTS LIMITED,,APOLLO HOUSE,,THE BUTTS,COVENTRY,CV1 3GJ,PRIVATE
100268,UN INN STUDENT - EREC ESTATES LIMITED,,JULIAN COURT,1,REGENT STREET,COVENTRY,CV1 3EP,PRIVATE
13839,COVENTRY UNIVERSITY,GODIVA PLACE,UNIVERSITY MANAGED,,,COVENTRY,CV1 5DQ,UNIVERSITY
