"_time","D8:84:66:0D:1B:E4","D8:84:66:30:F2:EC","D8:84:66:30:F7:A2","D8:84:66:30:F7:C0","D8:84:66:30:F8:64","D8:84:66:30:F8:A4","D8:84:66:30:F9:DA","D8:84:66:31:7F:24","D8:84:66:31:7F:36","D8:84:66:31:7F:42","D8:84:66:31:7F:7E","D8:84:66:31:7F:BC","D8:84:66:31:7F:D4","D8:84:66:31:80:02","D8:84:66:31:80:1E","D8:84:66:31:80:78","D8:84:66:31:80:7C","D8:84:66:31:80:86","D8:84:66:31:80:D2","D8:84:66:31:80:E4","D8:84:66:31:80:EC","D8:84:66:31:80:EE","D8:84:66:31:80:F2","D8:84:66:31:81:42","D8:84:66:31:81:6C","D8:84:66:31:81:74","D8:84:66:31:81:A4","D8:84:66:31:82:26","D8:84:66:31:82:28","D8:84:66:31:82:32","D8:84:66:31:82:3E","D8:84:66:31:82:40","D8:84:66:31:82:66","D8:84:66:31:82:B6","D8:84:66:31:83:12","D8:84:66:31:83:14","D8:84:66:31:83:DA","D8:84:66:31:85:A0","D8:84:66:31:D4:0E","D8:84:66:31:D4:10","D8:84:66:31:D4:12","D8:84:66:31:D4:18","D8:84:66:31:D4:36","D8:84:66:31:D4:42","D8:84:66:31:D4:4C","D8:84:66:31:D4:52","D8:84:66:31:D4:76","D8:84:66:31:D4:82","D8:84:66:31:D4:B2","D8:84:66:31:D4:E2","D8:84:66:31:D5:0C","D8:84:66:31:D5:20","D8:84:66:31:D5:26","D8:84:66:31:D5:34","D8:84:66:31:D5:48","D8:84:66:31:D5:C4","D8:84:66:31:D5:DA","D8:84:66:31:D6:66","D8:84:66:31:D6:6A","D8:84:66:31:D6:C8","D8:84:66:31:D6:D2","D8:84:66:31:D6:E6"
"2020-01-15T00:00:00.000+0000",0,165,0,0,0,0,452,166,0,38,94,0,178,125,560,6,0,387,430,58,135,152,49,154,629,0,246,944,266,281,0,58,118,552,218,374,192,551,0,0,111,0,0,792,333,0,0,301,140,0,0,0,56,106,0,0,506,285,0,0,0,109
"2020-01-15T01:00:00.000+0000",0,352,0,0,0,0,667,269,0,110,193,0,177,158,1022,24,0,439,775,71,158,229,80,208,774,0,328,1258,369,332,0,48,126,954,271,601,339,724,0,0,229,0,0,1237,657,0,0,410,290,0,0,0,139,146,0,0,803,493,0,0,0,111
"2020-01-15T02:00:00.000+0000",0,173,0,0,0,0,280,155,0,39,125,0,138,98,579,8,0,261,440,74,133,110,50,138,456,0,231,843,160,118,0,25,50,415,149,337,109,332,0,0,172,0,0,671,256,0,0,244,114,0,0,0,93,77,0,0,463,260,0,0,0,89
"2020-01-15T03:00:00.000+0000",0,309,0,0,0,0,479,198,0,81,137,0,162,123,795,19,0,225,617,48,148,170,92,134,564,0,288,1153,295,0,0,17,23,544,274,420,162,436,0,0,157,0,0,1092,512,0,0,356,207,0,0,0,129,65,0,0,563,413,0,0,0,73
"2020-01-15T04:00:00.000+0000",0,232,0,0,0,0,489,141,0,63,136,0,118,113,633,20,0,212,515,37,133,124,40,130,439,0,220,912,218,0,0,28,24,536,193,373,97,377,0,0,163,0,0,1008,359,0,0,277,160,0,0,0,82,56,0,0,442,292,0,0,0,116
"2020-01-15T05:00:00.000+0000",0,351,0,0,0,0,535,195,0,69,169,0,214,157,963,22,0,340,693,50,212,212,70,155,871,0,379,1444,417,0,0,31,87,751,324,509,139,561,0,0,211,0,0,1267,552,0,0,330,240,0,0,0,120,83,0,0,603,414,0,119,0,120
"2020-01-15T06:00:00.000+0000",0,244,0,0,0,0,886,178,0,91,126,0,415,128,1390,5,0,808,572,51,257,136,40,123,1674,0,177,1095,339,0,0,37,125,913,221,396,172,1283,0,0,275,0,0,1022,457,0,0,299,270,0,0,0,81,126,0,0,463,455,0,91,0,201
"2020-01-15T07:00:00.000+0000",0,452,0,0,0,0,1351,356,0,178,247,0,602,245,2211,166,0,1638,1312,217,514,402,17,353,2799,0,599,1774,704,300,0,69,233,1804,586,644,0,2332,0,0,674,0,0,1983,1257,0,0,787,712,0,0,0,281,235,0,0,841,959,0,145,0,560
"2020-01-15T08:00:00.000+0000",0,638,0,0,0,0,1747,786,0,159,232,0,922,329,1932,284,0,1862,2038,346,1056,515,35,578,3654,0,538,1690,706,1025,0,248,497,1900,972,685,88,3003,0,0,1123,0,0,1711,1792,0,0,809,1213,0,0,0,577,392,0,0,804,1756,0,393,0,1751
"2020-01-15T09:00:00.000+0000",0,1081,0,0,0,0,1934,1618,0,482,462,0,1038,865,2296,518,0,1758,2177,559,1063,896,219,1222,3869,0,1455,1989,1377,190,0,566,665,1967,1906,1126,41,2587,0,0,1748,0,0,1637,2478,0,0,1367,2301,0,0,0,553,792,0,0,1446,3052,0,8,0,3318
"2020-01-15T10:00:00.000+0000",0,1116,0,2,0,0,1521,1951,0,355,608,0,1115,850,2316,165,0,1728,1964,590,815,1136,223,1041,3239,0,1368,1917,1381,1529,0,701,746,2032,2666,1548,42,2268,0,0,1615,0,0,1926,2243,0,0,1289,1644,0,0,0,493,968,0,0,989,3162,0,214,0,3273
"2020-01-15T11:00:00.000+0000",0,1868,0,0,0,0,1891,2651,0,608,733,0,1415,1428,2739,437,0,1784,2529,681,1226,1579,278,1192,4714,0,1815,2024,2071,1953,0,507,1092,2622,3627,2092,25,2329,0,0,2082,0,0,1949,2712,0,0,1408,2120,0,0,0,740,1109,0,0,1874,3797,0,354,0,4559
"2020-01-15T12:00:00.000+0000",0,1593,0,0,0,0,1834,2873,0,412,863,0,1335,1479,2579,269,0,2050,2641,825,966,1475,275,1542,4690,0,1927,2003,1927,1602,0,1069,899,2509,3863,2190,66,1895,0,0,2399,0,1,1656,2481,0,0,1451,2324,0,0,0,662,1308,0,0,1322,4065,0,400,0,4136
"2020-01-15T13:00:00.000+0000",0,1876,0,0,0,0,2079,3385,0,686,1014,0,1642,1644,3999,345,0,2938,2777,1088,1341,1702,269,1986,5914,0,2162,2698,2243,2169,0,786,1070,3061,3865,2546,72,2409,0,0,2839,0,0,1903,2923,0,0,1926,2604,0,0,0,904,1374,0,0,1748,4759,0,471,0,5173
"2020-01-15T14:00:00.000+0000",0,1527,0,0,0,0,1726,2752,0,531,731,0,1434,1444,3956,266,0,2983,2282,942,1040,1223,223,1642,7154,0,1833,2837,2481,1877,0,544,476,3344,3885,2755,256,2637,0,0,2311,0,0,1692,2808,0,0,1681,1937,0,0,0,885,1220,0,0,1478,4025,0,433,0,4600
"2020-01-15T15:00:00.000+0000",0,1391,0,0,0,0,1490,2338,0,327,560,0,1460,1145,2636,277,0,2542,2059,637,936,965,101,1233,5491,0,1305,2222,1692,1603,0,627,481,2743,2947,2025,151,2291,0,0,1686,0,0,1476,2159,0,0,1268,1706,0,0,0,489,1155,0,0,1113,2863,0,375,0,2910
"2020-01-15T16:00:00.000+0000",0,1399,0,0,0,0,1699,2438,0,375,552,0,1526,1096,2569,273,0,2166,1881,547,930,958,97,1277,5820,0,1023,2241,1513,1255,0,518,540,2917,2825,2048,104,2614,0,0,1385,0,0,1346,2217,0,0,1449,1489,0,0,0,655,1089,0,0,1053,2812,0,258,0,2742
"2020-01-15T17:00:00.000+0000",0,1048,0,0,0,0,1890,1747,0,333,479,0,1463,808,2951,550,0,2669,2144,500,1126,800,217,1313,5634,0,1003,2456,1136,1975,0,350,432,3274,2438,1664,71,2882,0,0,1565,0,0,1925,2397,0,0,1484,1423,0,0,0,615,800,0,0,1059,2951,0,301,0,1770
"2020-01-15T18:00:00.000+0000",0,691,0,0,0,0,1451,1049,0,184,322,0,825,591,2385,299,0,2065,1520,217,505,444,134,597,4537,0,591,1838,652,1260,0,165,330,2623,852,981,10,2181,0,0,919,0,0,1430,1101,0,0,788,610,0,0,0,262,517,0,0,714,1486,0,172,0,577
"2020-01-15T19:00:00.000+0000",0,473,0,0,0,0,1292,612,0,191,193,0,689,628,2267,236,0,1388,1099,135,472,376,200,307,2512,0,570,1573,543,1212,0,164,230,2110,518,821,48,1862,0,0,848,0,0,1504,957,0,0,843,519,0,0,0,225,455,0,0,1006,1432,0,181,0,492
"2020-01-15T20:00:00.000+0000",0,354,0,0,0,0,953,559,0,107,177,0,539,485,1531,42,0,1054,960,153,261,299,70,264,2770,0,432,1472,331,653,0,113,255,1821,376,679,1,1403,0,0,551,0,0,776,687,0,0,642,367,0,0,0,197,374,0,0,716,1023,0,118,0,355
"2020-01-15T21:00:00.000+0000",0,450,0,0,0,0,824,498,0,192,201,0,383,441,1482,413,0,927,1026,75,337,319,71,284,2196,0,491,1658,620,711,0,86,124,1639,438,778,9,1306,0,0,508,0,0,876,797,0,0,594,506,0,0,0,234,264,0,0,901,958,0,197,0,177
"2020-01-15T22:00:00.000+0000",0,259,0,0,0,0,736,372,0,133,176,0,422,216,1239,637,0,924,830,82,253,205,40,242,1900,0,365,1490,286,657,0,42,157,1479,331,606,0,1164,0,0,430,0,0,863,640,0,0,511,392,0,0,0,121,267,0,0,759,710,0,192,0,99
"2020-01-15T23:00:00.000+0000",0,261,0,0,0,0,748,274,1,96,188,0,325,198,783,315,0,573,621,74,204,162,63,339,1586,0,270,1409,268,368,0,58,129,1034,205,629,10,977,0,0,262,0,0,793,495,0,0,494,335,0,0,0,77,192,0,0,724,570,0,148,0,136
"2020-01-16T00:00:00.000+0000",0,376,0,0,0,0,925,379,0,135,212,0,207,174,873,189,0,607,781,77,236,190,57,244,1455,0,530,1607,481,148,0,50,135,813,338,738,0,896,0,0,309,0,0,1049,756,0,0,523,324,0,0,0,113,167,0,0,953,361,0,61,0,141
"2020-01-16T01:00:00.000+0000",0,339,0,0,0,0,656,346,0,120,183,0,186,108,679,82,0,315,749,68,167,199,94,273,884,0,386,1317,450,0,0,70,89,701,395,677,41,589,0,0,251,0,0,1029,613,0,0,368,312,0,0,0,145,142,0,0,809,627,0,0,0,125
"2020-01-16T02:00:00.000+0000",0,229,0,0,0,0,535,219,0,68,128,0,152,99,548,51,0,266,392,39,105,134,33,198,589,0,185,1005,451,0,0,44,88,479,298,464,105,499,0,0,138,0,0,632,345,0,0,386,185,0,0,0,59,73,0,0,563,595,0,0,0,89
"2020-01-16T03:00:00.000+0000",0,201,0,0,0,0,579,298,0,65,193,0,148,162,803,99,0,202,373,49,114,131,78,179,623,0,252,1026,381,238,0,29,75,379,273,449,132,495,0,0,139,0,0,737,411,0,0,336,246,0,0,0,89,92,0,0,694,464,0,0,0,100
"2020-01-16T04:00:00.000+0000",0,182,0,0,0,0,543,228,0,87,154,0,105,137,648,83,0,193,417,84,102,124,58,162,562,0,200,914,260,217,0,6,88,361,255,347,115,469,0,0,149,0,0,828,378,0,0,264,242,0,0,0,86,133,0,0,566,385,0,0,0,92
"2020-01-16T05:00:00.000+0000",0,276,0,0,0,0,649,276,0,149,200,0,226,152,914,163,0,365,518,37,109,213,68,226,1035,0,214,1451,416,329,0,23,105,588,288,434,145,823,0,0,236,0,0,1042,544,0,0,384,382,0,0,0,111,112,0,0,668,530,0,0,0,154
"2020-01-16T06:00:00.000+0000",0,324,0,0,0,0,904,348,0,124,217,0,490,149,1604,451,0,898,629,75,235,265,56,248,2268,0,310,1860,451,548,0,34,163,1048,413,551,211,1309,0,0,371,0,0,1230,735,0,0,540,491,0,0,0,160,155,0,0,692,726,0,0,0,173
"2020-01-16T07:00:00.000+0000",0,438,0,0,0,0,1307,414,0,227,187,0,674,306,2256,1095,0,1513,1138,208,539,371,136,332,3353,0,391,2196,492,897,0,101,234,1724,568,668,520,2372,0,0,582,0,0,1523,1141,0,0,733,794,0,0,0,273,252,0,0,888,1235,172,0,0,367
"2020-01-16T08:00:00.000+0000",0,620,0,0,0,0,1686,930,0,137,310,0,1114,407,1695,1312,0,1701,1851,544,942,466,189,626,3788,0,687,1908,817,1125,0,254,422,2025,1152,742,719,2688,0,0,1248,0,0,1803,1862,0,0,992,1504,0,0,0,552,338,0,0,956,1838,375,151,0,1687
"2020-01-16T09:00:00.000+0000",0,1081,0,0,0,0,1712,1849,0,328,458,0,1109,802,2329,1192,0,1948,1879,456,913,786,135,1058,4064,0,1378,1778,1430,1230,0,444,859,2320,2225,1223,1109,2347,0,0,1584,0,0,1632,2387,0,0,1331,1613,0,0,0,676,690,0,0,1404,2692,517,417,0,3306
"2020-01-16T10:00:00.000+0000",0,1446,0,0,0,0,1445,1909,0,403,562,0,1018,892,2556,1207,0,2050,1851,643,762,919,281,1175,4063,5,1432,2114,1496,1479,0,540,626,2372,2791,1649,1032,2284,0,0,1504,0,0,1588,2499,0,0,1173,1677,0,0,0,638,881,0,0,1267,3319,519,351,0,3385
"2020-01-16T11:00:00.000+0000",0,1832,0,0,0,0,1539,2613,0,661,769,0,1241,1337,2744,1782,0,1951,2106,711,959,1166,264,1304,4048,0,1611,2181,1789,1686,0,549,550,2366,3478,1910,1075,2115,0,0,1493,0,0,1427,2705,0,0,1060,1844,0,0,0,743,1147,0,0,1545,3607,642,475,0,4089
"2020-01-16T12:00:00.000+0000",0,1771,0,0,0,0,1489,2824,0,460,755,0,1329,1441,2441,1516,0,2322,2523,952,956,1211,172,1197,4997,2,1516,2025,2036,1585,0,785,519,2483,3808,2203,1088,2149,0,0,2123,0,0,1593,2139,0,0,1231,2080,0,0,0,880,1408,0,0,1457,3855,630,420,0,3568
"2020-01-16T13:00:00.000+0000",0,1660,0,0,0,0,1563,2698,0,428,722,0,1416,1443,2759,1489,0,2187,2210,1002,1031,1439,193,1361,4891,0,1651,2141,1897,1588,0,596,541,2298,3485,2413,1048,2075,0,0,2317,0,0,1434,2663,0,0,1269,1801,0,0,0,830,1251,0,0,1306,4385,669,339,0,3562
"2020-01-16T14:00:00.000+0000",0,1363,0,0,0,0,1409,2274,0,395,575,0,1275,1013,2865,1488,0,2110,1932,642,941,958,165,1306,4962,0,1491,2197,1695,1703,0,492,825,2685,2820,2095,954,2265,0,0,1672,0,0,1586,2607,0,0,1100,1516,0,0,0,850,889,0,0,1515,3434,633,397,0,3344
"2020-01-16T15:00:00.000+0000",0,1229,0,0,0,0,1446,2171,0,424,527,0,1285,777,3270,1377,0,2400,1676,533,964,964,118,1056,4838,0,1521,2428,1553,1748,0,493,686,2911,2440,1978,1288,2648,0,0,1852,0,0,1696,2446,0,0,1212,1595,0,0,0,735,678,0,0,1487,3027,478,339,0,3509
"2020-01-16T16:00:00.000+0000",0,1379,0,0,0,0,1788,2230,0,525,594,0,1384,1064,3109,1376,0,2495,2154,496,1247,923,192,1194,5757,0,1405,2366,1598,2063,0,463,661,2725,2578,2121,1175,3625,0,0,1723,0,0,2081,2769,0,0,1401,1742,0,0,0,728,844,0,0,1643,2792,612,430,0,3632
"2020-01-16T17:00:00.000+0000",0,853,0,0,0,0,1608,1369,0,269,428,0,1270,798,2749,1185,0,2360,1767,705,862,612,167,1012,4853,0,837,1988,849,1480,0,406,482,2598,1780,1472,1207,3187,0,0,1357,786,0,1853,1738,0,0,1189,1229,0,0,0,561,684,0,0,949,1899,464,235,0,1250
"2020-01-16T18:00:00.000+0000",0,690,0,0,0,0,1312,1029,0,338,292,0,996,630,2910,913,0,1990,1512,376,691,500,164,543,3287,0,738,2186,990,981,0,313,316,2438,749,1183,1084,2660,0,0,1095,2198,0,1426,1220,0,0,726,877,0,0,0,389,651,0,0,1263,1591,443,273,0,843
"2020-01-16T19:00:00.000+0000",0,327,0,0,0,0,1047,790,0,201,169,0,733,648,2051,642,0,1468,1410,232,446,345,87,313,2660,0,594,1439,317,978,0,164,273,1927,493,750,697,1836,0,0,782,1490,0,1063,673,0,0,558,441,0,0,0,204,517,0,0,897,1201,217,211,0,378
"2020-01-16T20:00:00.000+0000",0,320,0,0,0,0,860,583,0,166,150,0,490,448,1950,602,0,1152,1015,228,353,273,35,280,2508,0,439,1327,290,748,0,175,195,1774,337,719,343,1374,0,0,589,1182,0,1104,609,0,0,499,434,0,0,0,193,342,0,0,736,812,182,185,0,311
"2020-01-16T21:00:00.000+0000",0,354,0,0,0,0,753,536,0,221,181,0,523,392,1817,511,0,981,1101,264,405,290,57,293,2204,0,414,1316,426,711,0,89,179,1672,295,813,383,1509,0,0,528,1164,0,1055,692,0,0,549,491,0,0,0,112,417,0,0,984,858,259,285,0,178
"2020-01-16T22:00:00.000+0000",0,268,0,0,0,0,709,458,0,158,101,0,502,292,1808,488,0,882,707,292,307,200,50,276,1991,0,552,1422,290,700,0,41,110,1340,340,733,333,1190,0,0,368,1259,0,1296,607,0,0,497,375,0,0,0,127,295,0,0,914,870,212,285,0,217
