Site,LocationName,BRCYear,BRCMonthName,BRCWeekNum,DayName,Date,Hour,InCount,OutCount,ReportCount,FactoredInCount,FactoredOutCount,FactoredReportCount,LocationGroup
Coventry City Centre,Broadgate at Greyfriars Lane  Eastbound,2024,February,5,Wednesday,31 Jan 2024,23:00,43,0,43,43,0,43,No Group
Coventry City Centre,Broadgate at Greyfriars Lane  Westbound,2024,January,4,Thursday,25 Jan 2024,00:00,23,0,23,23,0,23,No Group
Coventry City Centre,Broadgate at Greyfriars Lane  Westbound,2024,January,4,Thursday,25 Jan 2024,01:00,6,0,6,6,0,6,No Group
Coventry City Centre,Broadgate at Greyfriars Lane  Westbound,2024,January,4,Thursday,25 Jan 2024,02:00,18,0,18,18,0,18,No Group
Coventry City Centre,Broadgate at Greyfriars Lane  Westbound,2024,January,4,Thursday,25 Jan 2024,03:00,12,0,12,12,0,12,No Group
Coventry City Centre,Broadgate at Greyfriars Lane  Westbound,2024,January,4,Thursday,25 Jan 2024,04:00,9,0,9,9,0,9,No Group
Coventry City Centre,Broadgate at Greyfriars Lane  Westbound,2024,January,4,Thursday,25 Jan 2024,05:00,20,0,20,20,0,20,No Group
Coventry City Centre,Broadgate at Greyfriars Lane  Westbound,2024,January,4,Thursday,25 Jan 2024,06:00,18,0,18,18,0,18,No Group
Coventry City Centre,Broadgate at Greyfriars Lane  Westbound,2024,January,4,Thursday,25 Jan 2024,07:00,33,0,33,33,0,33,No Group
Coventry City Centre,Broadgate at Greyfriars Lane  Westbound,2024,January,4,Thursday,25 Jan 2024,08:00,177,0,177,177,0,177,No Group
Coventry City Centre,Broadgate at Greyfriars Lane  Westbound,2024,January,4,Thursday,25 Jan 2024,09:00,335,0,335,335,0,335,No Group
Coventry City Centre,Broadgate at Greyfriars Lane  Westbound,2024,January,4,Thursday,25 Jan 2024,10:00,649,0,649,649,0,649,No Group
Coventry City Centre,Broadgate at Greyfriars Lane  Westbound,2024,January,4,Thursday,25 Jan 2024,11:00,1006,0,1006,1006,0,1006,No Group
Coventry City Centre,Broadgate at Greyfriars Lane  Westbound,2024,January,4,Thursday,25 Jan 2024,12:00,1426,0,1426,1426,0,1426,No Group
Coventry City Centre,Broadgate at Greyfriars Lane  Westbound,2024,January,4,Thursday,25 Jan 2024,13:00,1287,0,1287,1287,0,1287,No Group
Coventry City Centre,Broadgate at Greyfriars Lane  Westbound,2024,January,4,Thursday,25 Jan 2024,14:00,1026,0,1026,1026,0,1026,No Group
Coventry City Centre,Broadgate at Greyfriars Lane  Westbound,2024,January,4,Thursday,25 Jan 2024,15:00,1046,0,1046,1046,0,1046,No Group
Coventry City Centre,Broadgate at Greyfriars Lane  Westbound,2024,January,4,Thursday,25 Jan 2024,16:00,1112,0,1112,1112,0,1112,No Group
Coventry City Centre,Broadgate at Greyfriars Lane  Westbound,2024,January,4,Thursday,25 Jan 2024,17:00,562,0,562,562,0,562,No Group
Coventry City Centre,Broadgate at Greyfriars Lane  Westbound,2024,January,4,Thursday,25 Jan 2024,18:00,274,0,274,274,0,274,No Group
Coventry City Centre,Broadgate at Greyfriars Lane  Westbound,2024,January,4,Thursday,25 Jan 2024,19:00,193,0,193,193,0,193,No Group
Coventry City Centre,Broadgate at Greyfriars Lane  Westbound,2024,January,4,Thursday,25 Jan 2024,20:00,134,0,134,134,0,134,No Group
Coventry City Centre,Broadgate at Greyfriars Lane  Westbound,2024,January,4,Thursday,25 Jan 2024,21:00,78,0,78,78,0,78,No Group
Coventry City Centre,Broadgate at Greyfriars Lane  Westbound,2024,January,4,Thursday,25 Jan 2024,22:00,19,0,19,19,0,19,No Group
Coventry City Centre,Broadgate at Greyfriars Lane  Westbound,2024,January,4,Thursday,25 Jan 2024,23:00,11,0,11,11,0,11,No Group
Coventry City Centre,Broadgate at Greyfriars Lane  Westbound,2024,January,4,Friday,26 Jan 2024,00:00,9,0,9,9,0,9,No Group
Coventry City Centre,Broadgate at Greyfriars Lane  Westbound,2024,January,4,Friday,26 Jan 2024,01:00,5,0,5,5,0,5,No Group
Coventry City Centre,Broadgate at Greyfriars Lane  Westbound,2024,January,4,Friday,26 Jan 2024,02:00,12,0,12,12,0,12,No Group
Coventry City Centre,Broadgate at Greyfriars Lane  Westbound,2024,January,4,Friday,26 Jan 2024,03:00,11,0,11,11,0,11,No Group
Coventry City Centre,Broadgate at Greyfriars Lane  Westbound,2024,January,4,Friday,26 Jan 2024,04:00,9,0,9,9,0,9,No Group
Coventry City Centre,Broadgate at Greyfriars Lane  Westbound,2024,January,4,Friday,26 Jan 2024,05:00,11,0,11,11,0,11,No Group
Coventry City Centre,Broadgate at Greyfriars Lane  Westbound,2024,January,4,Friday,26 Jan 2024,06:00,41,0,41,41,0,41,No Group
Coventry City Centre,Broadgate at Greyfriars Lane  Westbound,2024,January,4,Friday,26 Jan 2024,07:00,86,0,86,86,0,86,No Group
Coventry City Centre,Broadgate at Greyfriars Lane  Westbound,2024,January,4,Friday,26 Jan 2024,08:00,203,0,203,203,0,203,No Group
Coventry City Centre,Broadgate at Greyfriars Lane  Westbound,2024,January,4,Friday,26 Jan 2024,09:00,478,0,478,478,0,478,No Group
Coventry City Centre,Broadgate at Greyfriars Lane  Westbound,2024,January,4,Friday,26 Jan 2024,10:00,765,0,765,765,0,765,No Group
Coventry City Centre,Broadgate at Greyfriars Lane  Westbound,2024,January,4,Friday,26 Jan 2024,11:00,971,0,971,971,0,971,No Group
Coventry City Centre,Broadgate at Greyfriars Lane  Westbound,2024,January,4,Friday,26 Jan 2024,12:00,1366,0,1366,1366,0,1366,No Group
Coventry City Centre,Broadgate at Greyfriars Lane  Westbound,2024,January,4,Friday,26 Jan 2024,13:00,1295,0,1295,1295,0,1295,No Group
Coventry City Centre,Broadgate at Greyfriars Lane  Westbound,2024,January,4,Friday,26 Jan 2024,14:00,1216,0,1216,1216,0,1216,No Group
Coventry City Centre,Broadgate at Greyfriars Lane  Westbound,2024,January,4,Friday,26 Jan 2024,15:00,1234,0,1234,1234,0,1234,No Group
Coventry City Centre,Broadgate at Greyfriars Lane  Westbound,2024,January,4,Friday,26 Jan 2024,16:00,1108,0,1108,1108,0,1108,No Group
Coventry City Centre,Broadgate at Greyfriars Lane  Westbound,2024,January,4,Friday,26 Jan 2024,17:00,653,0,653,653,0,653,No Group
Coventry City Centre,Broadgate at Greyfriars Lane  Westbound,2024,January,4,Friday,26 Jan 2024,18:00,410,0,410,410,0,410,No Group
Coventry City Centre,Broadgate at Greyfriars Lane  Westbound,2024,January,4,Friday,26 Jan 2024,19:00,406,0,406,406,0,406,No Group
Coventry City Centre,Broadgate at Greyfriars Lane  Westbound,2024,January,4,Friday,26 Jan 2024,20:00,256,0,256,256,0,256,No Group
Coventry City Centre,Broadgate at Greyfriars Lane  Westbound,2024,January,4,Friday,26 Jan 2024,21:00,201,0,201,201,0,201,No Group
Coventry City Centre,Broadgate at Greyfriars Lane  Westbound,2024,January,4,Friday,26 Jan 2024,22:00,157,0,157,157,0,157,No Group
Coventry City Centre,Broadgate at Greyfriars Lane  Westbound,2024,January,4,Friday,26 Jan 2024,23:00,124,0,124,124,0,124,No Group
Coventry City Centre,Broadgate at Greyfriars Lane  Westbound,2024,January,4,Saturday,27 Jan 2024,00:00,68,0,68,68,0,68,No Group
Coventry City Centre,Broadgate at Greyfriars Lane  Westbound,2024,January,4,Saturday,27 Jan 2024,01:00,39,0,39,39,0,39,No Group
Coventry City Centre,Broadgate at Greyfriars Lane  Westbound,2024,January,4,Saturday,27 Jan 2024,02:00,18,0,18,18,0,18,No Group
Coventry City Centre,Broadgate at Greyfriars Lane  Westbound,2024,January,4,Saturday,27 Jan 2024,03:00,24,0,24,24,0,24,No Group
Coventry City Centre,Broadgate at Greyfriars Lane  Westbound,2024,January,4,Saturday,27 Jan 2024,04:00,12,0,12,12,0,12,No Group
Coventry City Centre,Broadgate at Greyfriars Lane  Westbound,2024,January,4,Saturday,27 Jan 2024,05:00,14,0,14,14,0,14,No Group
Coventry City Centre,Broadgate at Greyfriars Lane  Westbound,2024,January,4,Saturday,27 Jan 2024,06:00,24,0,24,24,0,24,No Group
Coventry City Centre,Broadgate at Greyfriars Lane  Westbound,2024,January,4,Saturday,27 Jan 2024,07:00,48,0,48,48,0,48,No Group
Coventry City Centre,Broadgate at Greyfriars Lane  Westbound,2024,January,4,Saturday,27 Jan 2024,08:00,179,0,179,179,0,179,No Group
Coventry City Centre,Broadgate at Greyfriars Lane  Westbound,2024,January,4,Saturday,27 Jan 2024,09:00,462,0,462,462,0,462,No Group
Coventry City Centre,Broadgate at Greyfriars Lane  Westbound,2024,January,4,Saturday,27 Jan 2024,10:00,767,0,767,767,0,767,No Group
Coventry City Centre,Broadgate at Greyfriars Lane  Westbound,2024,January,4,Saturday,27 Jan 2024,11:00,1049,0,1049,1049,0,1049,No Group
Coventry City Centre,Broadgate at Greyfriars Lane  Westbound,2024,January,4,Saturday,27 Jan 2024,12:00,1456,0,1456,1456,0,1456,No Group
Coventry City Centre,Broadgate at Greyfriars Lane  Westbound,2024,January,4,Saturday,27 Jan 2024,13:00,1497,0,1497,1497,0,1497,No Group
Coventry City Centre,Broadgate at Greyfriars Lane  Westbound,2024,January,4,Saturday,27 Jan 2024,14:00,1279,0,1279,1279,0,1279,No Group
Coventry City Centre,Broadgate at Greyfriars Lane  Westbound,2024,January,4,Saturday,27 Jan 2024,15:00,1223,0,1223,1223,0,1223,No Group
Coventry City Centre,Broadgate at Greyfriars Lane  Westbound,2024,January,4,Saturday,27 Jan 2024,16:00,1002,0,1002,1002,0,1002,No Group
Coventry City Centre,Broadgate at Greyfriars Lane  Westbound,2024,January,4,Saturday,27 Jan 2024,17:00,524,0,524,524,0,524,No Group
Coventry City Centre,Broadgate at Greyfriars Lane  Westbound,2024,January,4,Saturday,27 Jan 2024,18:00,455,0,455,455,0,455,No Group
Coventry City Centre,Broadgate at Greyfriars Lane  Westbound,2024,January,4,Saturday,27 Jan 2024,19:00,376,0,376,376,0,376,No Group
Coventry City Centre,Broadgate at Greyfriars Lane  Westbound,2024,January,4,Saturday,27 Jan 2024,20:00,308,0,308,308,0,308,No Group
Coventry City Centre,Broadgate at Greyfriars Lane  Westbound,2024,January,4,Saturday,27 Jan 2024,21:00,198,0,198,198,0,198,No Group
Coventry City Centre,Broadgate at Greyfriars Lane  Westbound,2024,January,4,Saturday,27 Jan 2024,22:00,182,0,182,182,0,182,No Group
Coventry City Centre,Broadgate at Greyfriars Lane  Westbound,2024,January,4,Saturday,27 Jan 2024,23:00,111,0,111,111,0,111,No Group
Coventry City Centre,Broadgate at Greyfriars Lane  Westbound,2024,January,4,Sunday,28 Jan 2024,00:00,62,0,62,62,0,62,No Group
Coventry City Centre,Broadgate at Greyfriars Lane  Westbound,2024,January,4,Sunday,28 Jan 2024,01:00,33,0,33,33,0,33,No Group
Coventry City Centre,Broadgate at Greyfriars Lane  Westbound,2024,January,4,Sunday,28 Jan 2024,02:00,19,0,19,19,0,19,No Group
Coventry City Centre,Broadgate at Greyfriars Lane  Westbound,2024,January,4,Sunday,28 Jan 2024,03:00,13,0,13,13,0,13,No Group
Coventry City Centre,Broadgate at Greyfriars Lane  Westbound,2024,January,4,Sunday,28 Jan 2024,04:00,14,0,14,14,0,14,No Group
Coventry City Centre,Broadgate at Greyfriars Lane  Westbound,2024,January,4,Sunday,28 Jan 2024,05:00,17,0,17,17,0,17,No Group
Coventry City Centre,Broadgate at Greyfriars Lane  Westbound,2024,January,4,Sunday,28 Jan 2024,06:00,19,0,19,19,0,19,No Group
Coventry City Centre,Broadgate at Greyfriars Lane  Westbound,2024,January,4,Sunday,28 Jan 2024,07:00,26,0,26,26,0,26,No Group
Coventry City Centre,Broadgate at Greyfriars Lane  Westbound,2024,January,4,Sunday,28 Jan 2024,08:00,50,0,50,50,0,50,No Group
Coventry City Centre,Broadgate at Greyfriars Lane  Westbound,2024,January,4,Sunday,28 Jan 2024,09:00,116,0,116,116,0,116,No Group
Coventry City Centre,Broadgate at Greyfriars Lane  Westbound,2024,January,4,Sunday,28 Jan 2024,10:00,336,0,336,336,0,336,No Group
Coventry City Centre,Broadgate at Greyfriars Lane  Westbound,2024,January,4,Sunday,28 Jan 2024,11:00,562,0,562,562,0,562,No Group
Coventry City Centre,Broadgate at Greyfriars Lane  Westbound,2024,January,4,Sunday,28 Jan 2024,12:00,713,0,713,713,0,713,No Group
Coventry City Centre,Broadgate at Greyfriars Lane  Westbound,2024,January,4,Sunday,28 Jan 2024,13:00,769,0,769,769,0,769,No Group
Coventry City Centre,Broadgate at Greyfriars Lane  Westbound,2024,January,4,Sunday,28 Jan 2024,14:00,746,0,746,746,0,746,No Group
Coventry City Centre,Broadgate at Greyfriars Lane  Westbound,2024,January,4,Sunday,28 Jan 2024,15:00,709,0,709,709,0,709,No Group
Coventry City Centre,Broadgate at Greyfriars Lane  Westbound,2024,January,4,Sunday,28 Jan 2024,16:00,512,0,512,512,0,512,No Group
Coventry City Centre,Broadgate at Greyfriars Lane  Westbound,2024,January,4,Sunday,28 Jan 2024,17:00,260,0,260,260,0,260,No Group
Coventry City Centre,Broadgate at Greyfriars Lane  Westbound,2024,January,4,Sunday,28 Jan 2024,18:00,159,0,159,159,0,159,No Group
Coventry City Centre,Broadgate at Greyfriars Lane  Westbound,2024,January,4,Sunday,28 Jan 2024,19:00,173,0,173,173,0,173,No Group
Coventry City Centre,Broadgate at Greyfriars Lane  Westbound,2024,January,4,Sunday,28 Jan 2024,20:00,98,0,98,98,0,98,No Group
Coventry City Centre,Broadgate at Greyfriars Lane  Westbound,2024,January,4,Sunday,28 Jan 2024,21:00,75,0,75,75,0,75,No Group
Coventry City Centre,Broadgate at Greyfriars Lane  Westbound,2024,January,4,Sunday,28 Jan 2024,22:00,34,0,34,34,0,34,No Group
Coventry City Centre,Broadgate at Greyfriars Lane  Westbound,2024,January,4,Sunday,28 Jan 2024,23:00,32,0,32,32,0,32,No Group
Coventry City Centre,Broadgate at Greyfriars Lane  Westbound,2024,February,5,Monday,29 Jan 2024,00:00,19,0,19,19,0,19,No Group
Coventry City Centre,Broadgate at Greyfriars Lane  Westbound,2024,February,5,Monday,29 Jan 2024,01:00,6,0,6,6,0,6,No Group
Coventry City Centre,Broadgate at Greyfriars Lane  Westbound,2024,February,5,Monday,29 Jan 2024,02:00,9,0,9,9,0,9,No Group
Coventry City Centre,Broadgate at Greyfriars Lane  Westbound,2024,February,5,Monday,29 Jan 2024,03:00,7,0,7,7,0,7,No Group
Coventry City Centre,Broadgate at Greyfriars Lane  Westbound,2024,February,5,Monday,29 Jan 2024,04:00,5,0,5,5,0,5,No Group
Coventry City Centre,Broadgate at Greyfriars Lane  Westbound,2024,February,5,Monday,29 Jan 2024,05:00,18,0,18,18,0,18,No Group
Coventry City Centre,Broadgate at Greyfriars Lane  Westbound,2024,February,5,Monday,29 Jan 2024,06:00,34,0,34,34,0,34,No Group
Coventry City Centre,Broadgate at Greyfriars Lane  Westbound,2024,February,5,Monday,29 Jan 2024,07:00,84,0,84,84,0,84,No Group
Coventry City Centre,Broadgate at Greyfriars Lane  Westbound,2024,February,5,Monday,29 Jan 2024,08:00,215,0,215,215,0,215,No Group
Coventry City Centre,Broadgate at Greyfriars Lane  Westbound,2024,February,5,Monday,29 Jan 2024,09:00,489,0,489,489,0,489,No Group
Coventry City Centre,Broadgate at Greyfriars Lane  Westbound,2024,February,5,Monday,29 Jan 2024,10:00,720,0,720,720,0,720,No Group
Coventry City Centre,Broadgate at Greyfriars Lane  Westbound,2024,February,5,Monday,29 Jan 2024,11:00,1058,0,1058,1058,0,1058,No Group
Coventry City Centre,Broadgate at Greyfriars Lane  Westbound,2024,February,5,Monday,29 Jan 2024,12:00,1355,0,1355,1355,0,1355,No Group
Coventry City Centre,Broadgate at Greyfriars Lane  Westbound,2024,February,5,Monday,29 Jan 2024,13:00,1345,0,1345,1345,0,1345,No Group
Coventry City Centre,Broadgate at Greyfriars Lane  Westbound,2024,February,5,Monday,29 Jan 2024,14:00,1130,0,1130,1130,0,1130,No Group
Coventry City Centre,Broadgate at Greyfriars Lane  Westbound,2024,February,5,Monday,29 Jan 2024,15:00,1095,0,1095,1095,0,1095,No Group
Coventry City Centre,Broadgate at Greyfriars Lane  Westbound,2024,February,5,Monday,29 Jan 2024,16:00,1017,0,1017,1017,0,1017,No Group
Coventry City Centre,Broadgate at Greyfriars Lane  Westbound,2024,February,5,Monday,29 Jan 2024,17:00,568,0,568,568,0,568,No Group
Coventry City Centre,Broadgate at Greyfriars Lane  Westbound,2024,February,5,Monday,29 Jan 2024,18:00,281,0,281,281,0,281,No Group
Coventry City Centre,Broadgate at Greyfriars Lane  Westbound,2024,February,5,Monday,29 Jan 2024,19:00,183,0,183,183,0,183,No Group
Coventry City Centre,Broadgate at Greyfriars Lane  Westbound,2024,February,5,Monday,29 Jan 2024,20:00,127,0,127,127,0,127,No Group
Coventry City Centre,Broadgate at Greyfriars Lane  Westbound,2024,February,5,Monday,29 Jan 2024,21:00,91,0,91,91,0,91,No Group
Coventry City Centre,Broadgate at Greyfriars Lane  Westbound,2024,February,5,Monday,29 Jan 2024,22:00,94,0,94,94,0,94,No Group
Coventry City Centre,Broadgate at Greyfriars Lane  Westbound,2024,February,5,Monday,29 Jan 2024,23:00,39,0,39,39,0,39,No Group
Coventry City Centre,Broadgate at Greyfriars Lane  Westbound,2024,February,5,Tuesday,30 Jan 2024,00:00,16,0,16,16,0,16,No Group
Coventry City Centre,Broadgate at Greyfriars Lane  Westbound,2024,February,5,Tuesday,30 Jan 2024,01:00,8,0,8,8,0,8,No Group
Coventry City Centre,Broadgate at Greyfriars Lane  Westbound,2024,February,5,Tuesday,30 Jan 2024,02:00,13,0,13,13,0,13,No Group
Coventry City Centre,Broadgate at Greyfriars Lane  Westbound,2024,February,5,Tuesday,30 Jan 2024,03:00,7,0,7,7,0,7,No Group
Coventry City Centre,Broadgate at Greyfriars Lane  Westbound,2024,February,5,Tuesday,30 Jan 2024,04:00,5,0,5,5,0,5,No Group
Coventry City Centre,Broadgate at Greyfriars Lane  Westbound,2024,February,5,Tuesday,30 Jan 2024,05:00,13,0,13,13,0,13,No Group
Coventry City Centre,Broadgate at Greyfriars Lane  Westbound,2024,February,5,Tuesday,30 Jan 2024,06:00,34,0,34,34,0,34,No Group
Coventry City Centre,Broadgate at Greyfriars Lane  Westbound,2024,February,5,Tuesday,30 Jan 2024,07:00,83,0,83,83,0,83,No Group
Coventry City Centre,Broadgate at Greyfriars Lane  Westbound,2024,February,5,Tuesday,30 Jan 2024,08:00,233,0,233,233,0,233,No Group
Coventry City Centre,Broadgate at Greyfriars Lane  Westbound,2024,February,5,Tuesday,30 Jan 2024,09:00,444,0,444,444,0,444,No Group
Coventry City Centre,Broadgate at Greyfriars Lane  Westbound,2024,February,5,Tuesday,30 Jan 2024,10:00,699,0,699,699,0,699,No Group
Coventry City Centre,Broadgate at Greyfriars Lane  Westbound,2024,February,5,Tuesday,30 Jan 2024,11:00,999,0,999,999,0,999,No Group
Coventry City Centre,Broadgate at Greyfriars Lane  Westbound,2024,February,5,Tuesday,30 Jan 2024,12:00,1441,0,1441,1441,0,1441,No Group
Coventry City Centre,Broadgate at Greyfriars Lane  Westbound,2024,February,5,Tuesday,30 Jan 2024,13:00,1349,0,1349,1349,0,1349,No Group
Coventry City Centre,Broadgate at Greyfriars Lane  Westbound,2024,February,5,Tuesday,30 Jan 2024,14:00,1095,0,1095,1095,0,1095,No Group
Coventry City Centre,Broadgate at Greyfriars Lane  Westbound,2024,February,5,Tuesday,30 Jan 2024,15:00,1086,0,1086,1086,0,1086,No Group
Coventry City Centre,Broadgate at Greyfriars Lane  Westbound,2024,February,5,Tuesday,30 Jan 2024,16:00,1159,0,1159,1159,0,1159,No Group
Coventry City Centre,Broadgate at Greyfriars Lane  Westbound,2024,February,5,Tuesday,30 Jan 2024,17:00,678,0,678,678,0,678,No Group
Coventry City Centre,Broadgate at Greyfriars Lane  Westbound,2024,February,5,Tuesday,30 Jan 2024,18:00,322,0,322,322,0,322,No Group
Coventry City Centre,Broadgate at Greyfriars Lane  Westbound,2024,February,5,Tuesday,30 Jan 2024,19:00,214,0,214,214,0,214,No Group
Coventry City Centre,Broadgate at Greyfriars Lane  Westbound,2024,February,5,Tuesday,30 Jan 2024,20:00,136,0,136,136,0,136,No Group
Coventry City Centre,Broadgate at Greyfriars Lane  Westbound,2024,February,5,Tuesday,30 Jan 2024,21:00,108,0,108,108,0,108,No Group
Coventry City Centre,Broadgate at Greyfriars Lane  Westbound,2024,February,5,Tuesday,30 Jan 2024,22:00,66,0,66,66,0,66,No Group
Coventry City Centre,Broadgate at Greyfriars Lane  Westbound,2024,February,5,Tuesday,30 Jan 2024,23:00,42,0,42,42,0,42,No Group
Coventry City Centre,Broadgate at Greyfriars Lane  Westbound,2024,February,5,Wednesday,31 Jan 2024,00:00,18,0,18,18,0,18,No Group
Coventry City Centre,Broadgate at Greyfriars Lane  Westbound,2024,February,5,Wednesday,31 Jan 2024,01:00,3,0,3,3,0,3,No Group
Coventry City Centre,Broadgate at Greyfriars Lane  Westbound,2024,February,5,Wednesday,31 Jan 2024,02:00,5,0,5,5,0,5,No Group
Coventry City Centre,Broadgate at Greyfriars Lane  Westbound,2024,February,5,Wednesday,31 Jan 2024,03:00,6,0,6,6,0,6,No Group
Coventry City Centre,Broadgate at Greyfriars Lane  Westbound,2024,February,5,Wednesday,31 Jan 2024,04:00,7,0,7,7,0,7,No Group
Coventry City Centre,Broadgate at Greyfriars Lane  Westbound,2024,February,5,Wednesday,31 Jan 2024,05:00,28,0,28,28,0,28,No Group
Coventry City Centre,Broadgate at Greyfriars Lane  Westbound,2024,February,5,Wednesday,31 Jan 2024,06:00,48,0,48,48,0,48,No Group
Coventry City Centre,Broadgate at Greyfriars Lane  Westbound,2024,February,5,Wednesday,31 Jan 2024,07:00,100,0,100,100,0,100,No Group
Coventry City Centre,Broadgate at Greyfriars Lane  Westbound,2024,February,5,Wednesday,31 Jan 2024,08:00,207,0,207,207,0,207,No Group
Coventry City Centre,Broadgate at Greyfriars Lane  Westbound,2024,February,5,Wednesday,31 Jan 2024,09:00,416,0,416,416,0,416,No Group
Coventry City Centre,Broadgate at Greyfriars Lane  Westbound,2024,February,5,Wednesday,31 Jan 2024,10:00,688,0,688,688,0,688,No Group
Coventry City Centre,Broadgate at Greyfriars Lane  Westbound,2024,February,5,Wednesday,31 Jan 2024,11:00,1042,0,1042,1042,0,1042,No Group
Coventry City Centre,Broadgate at Greyfriars Lane  Westbound,2024,February,5,Wednesday,31 Jan 2024,12:00,1284,0,1284,1284,0,1284,No Group
Coventry City Centre,Broadgate at Greyfriars Lane  Westbound,2024,February,5,Wednesday,31 Jan 2024,13:00,1348,0,1348,1348,0,1348,No Group
Coventry City Centre,Broadgate at Greyfriars Lane  Westbound,2024,February,5,Wednesday,31 Jan 2024,14:00,973,0,973,973,0,973,No Group
Coventry City Centre,Broadgate at Greyfriars Lane  Westbound,2024,February,5,Wednesday,31 Jan 2024,15:00,966,0,966,966,0,966,No Group
Coventry City Centre,Broadgate at Greyfriars Lane  Westbound,2024,February,5,Wednesday,31 Jan 2024,16:00,1033,0,1033,1033,0,1033,No Group
Coventry City Centre,Broadgate at Greyfriars Lane  Westbound,2024,February,5,Wednesday,31 Jan 2024,17:00,572,0,572,572,0,572,No Group
Coventry City Centre,Broadgate at Greyfriars Lane  Westbound,2024,February,5,Wednesday,31 Jan 2024,18:00,278,0,278,278,0,278,No Group
Coventry City Centre,Broadgate at Greyfriars Lane  Westbound,2024,February,5,Wednesday,31 Jan 2024,19:00,139,0,139,139,0,139,No Group
Coventry City Centre,Broadgate at Greyfriars Lane  Westbound,2024,February,5,Wednesday,31 Jan 2024,20:00,92,0,92,92,0,92,No Group
Coventry City Centre,Broadgate at Greyfriars Lane  Westbound,2024,February,5,Wednesday,31 Jan 2024,21:00,48,0,48,48,0,48,No Group
Coventry City Centre,Broadgate at Greyfriars Lane  Westbound,2024,February,5,Wednesday,31 Jan 2024,22:00,51,0,51,51,0,51,No Group
Coventry City Centre,Broadgate at Greyfriars Lane  Westbound,2024,February,5,Wednesday,31 Jan 2024,23:00,45,0,45,45,0,45,No Group
