Attribute,Theme
Adults 15+ estimate 2018,Population
Household estimate 2018,Population
Population estimate 2018,Population
Segmentation_Audience Spectrum_Metro-culturals,Segmentation (Audience Spectrum [AS])
Segmentation_Audience Spectrum_Commuter-land Culturebuffs,Segmentation (Audience Spectrum [AS])
Segmentation_Audience Spectrum_Experience Seekers,Segmentation (Audience Spectrum [AS])
Segmentation_Audience Spectrum_Dormitory Dependables,Segmentation (Audience Spectrum [AS])
Segmentation_Audience Spectrum_Trips & Treats,Segmentation (Audience Spectrum [AS])
Segmentation_Audience Spectrum_Home & Heritage,Segmentation (Audience Spectrum [AS])
Segmentation_Audience Spectrum_Up Our Street,Segmentation (Audience Spectrum [AS])
Segmentation_Audience Spectrum_Facebook Families,Segmentation (Audience Spectrum [AS])
Segmentation_Audience Spectrum_Kaleidoscope Creativity,Segmentation (Audience Spectrum [AS])
Segmentation_Audience Spectrum segment_Heydays,Segmentation (Audience Spectrum [AS])
Segmentation_Audience Spectrum_Adults 15+ estimate 2018,Segmentation (Audience Spectrum [AS])
Segmentation_MOSAIC_A City Prosperity ,Segmentation (MOSAIC)
Segmentation_MOSAIC_B Prestige Positions ,Segmentation (MOSAIC)
Segmentation_MOSAIC_C Country Living ,Segmentation (MOSAIC)
Segmentation_MOSAIC_D Rural Reality ,Segmentation (MOSAIC)
Segmentation_MOSAIC_E Senior Security ,Segmentation (MOSAIC)
Segmentation_MOSAIC_F Suburban Stability ,Segmentation (MOSAIC)
Segmentation_MOSAIC_G Domestic Success ,Segmentation (MOSAIC)
Segmentation_MOSAIC_H Aspiring Homemakers ,Segmentation (MOSAIC)
Segmentation_MOSAIC_I Family Basics ,Segmentation (MOSAIC)
Segmentation_MOSAIC_J Transient Renters ,Segmentation (MOSAIC)
Segmentation_MOSAIC_K Municipal Tenants,Segmentation (MOSAIC)
Segmentation_MOSAIC_L Vintage Value ,Segmentation (MOSAIC)
Segmentation_MOSAIC_M Modest Traditions ,Segmentation (MOSAIC)
Segmentation_MOSAIC_N Urban Cohesion ,Segmentation (MOSAIC)
Segmentation_MOSAIC_O Rental Hubs ,Segmentation (MOSAIC)
Segmentation_MOSAIC_U Unclassified,Segmentation (MOSAIC)
Segmentation_MOSAIC 6 Group (Adults 15+)_Adults 15+ estimate 2018,Segmentation (MOSAIC)
TGI-Leisure_Art galleries,Cultural Participation (Estimated)
TGI-Leisure_Art gallery once a month or more,Cultural Participation (Estimated)
TGI-Leisure_Ballet,Cultural Participation (Estimated)
TGI-Leisure_Classical concerts,Cultural Participation (Estimated)
TGI-Leisure_Comedy Shows,Cultural Participation (Estimated)
TGI-Leisure_Contemp-orary dance,Cultural Participation (Estimated)
TGI-Leisure_Jazz concerts,Cultural Participation (Estimated)
TGI-Leisure_Opera,Cultural Participation (Estimated)
TGI-Leisure_Plays,Cultural Participation (Estimated)
TGI-Leisure_Popular/rock concert,Cultural Participation (Estimated)
TGI-Leisure_Theatre,Cultural Participation (Estimated)
TGI-Leisure_Theatre once a month or more,Cultural Participation (Estimated)
TGI-Leisure_Museums,Cultural Participation (Estimated)
TGI-Leisure_Archaeological sites,Cultural Participation (Estimated)
TGI-Leisure_Stately homes/ castles,Cultural Participation (Estimated)
TGI-Leisure_Cinema_Ever go to the cinema,Cultural Participation (Estimated)
TGI-Leisure_Cinema_Go every two or three months,Cultural Participation (Estimated)
TGI-Leisure_Cinema_Go once or more a month,Cultural Participation (Estimated)
TGI-Leisure_Cinema_Never go,Cultural Participation (Estimated)
TGI-Leisure_Adults 15+ estimate 2018,Cultural Participation (Estimated)
TGI-Media_Daily Express,Cultural Participation (Estimated)
TGI-Media_Daily Mail,Cultural Participation (Estimated)
TGI-Media_Daily Mirror,Cultural Participation (Estimated)
TGI-Media_Daily Record,Cultural Participation (Estimated)
TGI-Media_Daily Star,Cultural Participation (Estimated)
TGI-Media_Daily Telegraph,Cultural Participation (Estimated)
TGI-Media_Financial Times,Cultural Participation (Estimated)
TGI-Media_The Guardian,Cultural Participation (Estimated)
TGI-Media_i (newspaper),Cultural Participation (Estimated)
TGI-Media_The Sun,Cultural Participation (Estimated)
TGI-Media_The Times,Cultural Participation (Estimated)
TGI-Media_Adults 15+ estimate 2018,Cultural Participation (Estimated)
AFD-All_Number of Bookers,Cultural Participation (Actual)
AFD-All_Tickets Issued,Cultural Participation (Actual)
AFD-All_No of venues visited_1,Cultural Participation (Actual)
AFD-All_No of venues visited_2,Cultural Participation (Actual)
AFD-All_No of venues visited_3,Cultural Participation (Actual)
AFD-All_No of venues visited_4,Cultural Participation (Actual)
AFD-All_No of venues visited_5,Cultural Participation (Actual)
AFD-All_No of venues visited_6,Cultural Participation (Actual)
AFD-All_No of venues visited_7,Cultural Participation (Actual)
AFD-All_No of venues visited_8,Cultural Participation (Actual)
AFD-All_No of venues visited_9,Cultural Participation (Actual)
AFD-All_No of venues visited_10,Cultural Participation (Actual)
AFD-All_No of venues visited_More than 10,Cultural Participation (Actual)
AFD-All_No of venues visited_Average,Cultural Participation (Actual)
AFD-All_Bookers per artform_Children/Family,Cultural Participation (Actual)
AFD-All_Bookers per artform_Christmas Show,Cultural Participation (Actual)
AFD-All_Bookers per artform_Contemporary Visual Arts,Cultural Participation (Actual)
AFD-All_Bookers per artform_Dance,Cultural Participation (Actual)
AFD-All_Bookers per artform_Film,Cultural Participation (Actual)
AFD-All_Bookers per artform_General Entertainment,Cultural Participation (Actual)
AFD-All_Bookers per artform_Literature,Cultural Participation (Actual)
AFD-All_Bookers per artform_Museums/Heritage,Cultural Participation (Actual)
AFD-All_Bookers per artform_Music,Cultural Participation (Actual)
AFD-All_Bookers per artform_Musical Theatre,Cultural Participation (Actual)
AFD-All_Bookers per artform_Other Artforms,Cultural Participation (Actual)
AFD-All_Bookers per artform_Outdoor Arts,Cultural Participation (Actual)
AFD-All_Bookers per artform_Plays/Drama,Cultural Participation (Actual)
AFD-All_Bookers per artform_Traditional Visual Arts,Cultural Participation (Actual)
AFD-All_Bookers per artform_Uncoded,Cultural Participation (Actual)
AFD-All_Bookers per artform_Workshops,Cultural Participation (Actual)
AFD-All_Performances_Number of performances,Cultural Participation (Actual)
AFD-All_Performances_Avg. performances booked for per customer,Cultural Participation (Actual)
AFD-All_Yield_Average yield per ticket,Cultural Participation (Actual)
AFD-All_Bookers per artform_Total income,Cultural Participation (Actual)
AFD-All_Audience Spectrum_Metro-culturals,Cultural Participation (Actual)
AFD-All_Audience Spectrum_Commuter-land Culturebuffs,Cultural Participation (Actual)
AFD-All_Audience Spectrum_Experience Seekers,Cultural Participation (Actual)
AFD-All_Audience Spectrum_Dormitory Dependables,Cultural Participation (Actual)
AFD-All_Audience Spectrum_Trips & Treats,Cultural Participation (Actual)
AFD-All_Audience Spectrum_Home & Heritage,Cultural Participation (Actual)
AFD-All_Audience Spectrum_Up Our Street,Cultural Participation (Actual)
AFD-All_Audience Spectrum_Facebook Families,Cultural Participation (Actual)
AFD-All_Audience Spectrum_Kaleidoscope Creativity,Cultural Participation (Actual)
AFD-All_Audience Spectrum_Heydays,Cultural Participation (Actual)
AFD-All_Audience Spectrum_Total,Cultural Participation (Actual)
AFD-Coventry_Number of Bookers,Cultural Participation (Actual)
AFD-Coventry_Tickets Issued,Cultural Participation (Actual)
AFD-Coventry_No of venues visited_1,Cultural Participation (Actual)
AFD-Coventry_No of venues visited_2,Cultural Participation (Actual)
AFD-Coventry_No of venues visited_Average,Cultural Participation (Actual)
AFD-Coventry_Bookers per artform_Children/Family,Cultural Participation (Actual)
AFD-Coventry_Bookers per artform_Christmas Show,Cultural Participation (Actual)
AFD-Coventry_Bookers per artform_Contemporary Visual Arts,Cultural Participation (Actual)
AFD-Coventry_Bookers per artform_Dance,Cultural Participation (Actual)
AFD-Coventry_Bookers per artform_Film,Cultural Participation (Actual)
AFD-Coventry_Bookers per artform_General Entertainment,Cultural Participation (Actual)
AFD-Coventry_Bookers per artform_Literature,Cultural Participation (Actual)
AFD-Coventry_Bookers per artform_Museums/Heritage,Cultural Participation (Actual)
AFD-Coventry_Bookers per artform_Music,Cultural Participation (Actual)
AFD-Coventry_Bookers per artform_Musical Theatre,Cultural Participation (Actual)
AFD-Coventry_Bookers per artform_Other Artforms,Cultural Participation (Actual)
AFD-Coventry_Bookers per artform_Outdoor Arts,Cultural Participation (Actual)
AFD-Coventry_Bookers per artform_Plays/Drama,Cultural Participation (Actual)
AFD-Coventry_Bookers per artform_Traditional Visual Arts,Cultural Participation (Actual)
AFD-Coventry_Bookers per artform_Uncoded,Cultural Participation (Actual)
AFD-Coventry_Bookers per artform_Workshops,Cultural Participation (Actual)
AFD-Coventry_Performances_Number of performances,Cultural Participation (Actual)
AFD-Coventry_Performances_Avg. performances booked for per customer,Cultural Participation (Actual)
AFD-Coventry_Yield_Average yield per ticket,Cultural Participation (Actual)
AFD-Coventry_Bookers per artform_Total income,Cultural Participation (Actual)
AFD-Coventry_Audience Spectrum_Metro-culturals,Cultural Participation (Actual)
AFD-Coventry_Audience Spectrum_Commuter-land Culturebuffs,Cultural Participation (Actual)
AFD-Coventry_Audience Spectrum_Experience Seekers,Cultural Participation (Actual)
AFD-Coventry_Audience Spectrum_Dormitory Dependables,Cultural Participation (Actual)
AFD-Coventry_Audience Spectrum_Trips & Treats,Cultural Participation (Actual)
AFD-Coventry_Audience Spectrum_Home & Heritage,Cultural Participation (Actual)
AFD-Coventry_Audience Spectrum_Up Our Street,Cultural Participation (Actual)
AFD-Coventry_Audience Spectrum_Facebook Families,Cultural Participation (Actual)
AFD-Coventry_Audience Spectrum_Kaleidoscope Creativity,Cultural Participation (Actual)
AFD-Coventry_Audience Spectrum_Heydays,Cultural Participation (Actual)
AFD-Coventry_Audience Spectrum_Total,Cultural Participation (Actual)
Index of Multiple Deprivation (IMD) Score,Deprivation
Income Score (rate),Deprivation
Employment Score (rate),Deprivation
"Education, Skills and Training Score",Deprivation
Health Deprivation and Disability Score,Deprivation
Crime Score,Deprivation
Barriers to Housing and Services Score,Deprivation
Living Environment Score,Deprivation
Income Deprivation Affecting Children Index (IDACI) Score (rate),Deprivation
Income Deprivation Affecting Older People (IDAOPI) Score (rate),Deprivation
Children and Young People Sub-domain Score,Deprivation
Adult Skills Sub-domain Score,Deprivation
Geographical Barriers Sub-domain Score,Deprivation
Wider Barriers Sub-domain Score,Deprivation
Indoors Sub-domain Score,Deprivation
Outdoors Sub-domain Score,Deprivation
No-participation,Cultural Participation (Estimated)
Participation,Cultural Participation (Estimated)
Feel Safe - Night Time,"Civic Pride, Community Cohesion & Safety"
Feel Safe - Day Time,"Civic Pride, Community Cohesion & Safety"
City Centre Satisfaction,"Civic Pride, Community Cohesion & Safety"
Agree They Can Get Involved With The Community,"Civic Pride, Community Cohesion & Safety"
Agree They Can Influence Decisions,"Civic Pride, Community Cohesion & Safety"
Satisfied with Local Area,"Civic Pride, Community Cohesion & Safety"
Participation (Pubs & cinemas only),Cultural Participation (Estimated)
Participation excluding pubs & cinemas,Cultural Participation (Estimated)
Total Participation - Children,Cultural Participation (Estimated)
Participation excluding pubs & cinemas - Children,Cultural Participation (Estimated)
% ethnic minority,Demographics and Community
